Name Of Player,Country,Years
 , ,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
NS Sidhu, (INDIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276,739,1143,1503,1771,1773,2232,3117,3466,3948,4098,4413,4413,4413,4413,4413,4413,4413,4413,4413,4413,4413,4413,4413,4413,4413,4413,4413,4413,4413,4413,4413,4413
CZ Harris, (NZ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,189,479,530,822,822,1209,1721,2109,2519,2910,3349,3955,4250,4379,4379,4379,4379,4379,4379,4379,4379,4379,4379,4379,4379,4379,4379,4379,4379
GR Marsh, (AUS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,724,1607,2442,2935,3575,4206,4357,4357,4357,4357,4357,4357,4357,4357,4357,4357,4357,4357,4357,4357,4357,4357,4357,4357,4357,4357,4357,4357,4357,4357,4357,4357,4357,4357
DA Warner, (AUS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,106,210,1050,1133,1539,2225,3613,4304,4377,4377
E Chigumbura, (Afr/ZIM),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,308,414,903,1293,1463,2093,2461,2743,2837,2998,3390,4179,4229,4229,4340,4340
ME Trescothick, (ENG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441,883,2045,2700,3370,3923,4335,4335,4335,4335,4335,4335,4335,4335,4335,4335,4335,4335,4335,4335
GA Gooch, (ENG),0,0,0,0,0,40,40,134,571,747,908,1046,1046,1046,1335,1665,2505,2615,2996,3471,3641,4071,4206,4290,4290,4290,4290,4290,4290,4290,4290,4290,4290,4290,4290,4290,4290,4290,4290,4290,4290,4290,4290,4290,4290,4290,4290,4290,4290
AJ Strauss, (ENG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,658,1371,1963,2239,2239,2886,3692,4205,4205,4205,4205,4205,4205,4205,4205,4205
K Srikkanth, (INDIA),0,0,0,0,0,0,0,0,0,0,17,362,624,817,1118,2022,2635,3082,3486,3540,3974,4091,4091,4091,4091,4091,4091,4091,4091,4091,4091,4091,4091,4091,4091,4091,4091,4091,4091,4091,4091,4091,4091,4091,4091,4091,4091,4091,4091
AJ Finch, (AUS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,514,1304,1879,2534,2939,3432,4066
AJ Lamb, (ENG),0,0,0,0,0,0,0,0,0,0,0,279,927,1388,1569,1755,2614,2723,3072,3494,3710,4010,4010,4010,4010,4010,4010,4010,4010,4010,4010,4010,4010,4010,4010,4010,4010,4010,4010,4010,4010,4010,4010,4010,4010,4010,4010,4010,4010
WTS Porterfield, (IRE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,614,736,1150,1371,1928,1928,2060,2122,2460,2628,3272,3722,3962
RP Arnold, (SL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,14,519,1167,1900,2705,2810,2911,3338,3737,3950,3950,3950,3950,3950,3950,3950,3950,3950,3950,3950,3950,3950
AP Gurusinha, (SL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,394,502,711,1150,1394,1518,1965,2258,2631,3349,3906,3906,3906,3906,3906,3906,3906,3906,3906,3906,3906,3906,3906,3906,3906,3906,3906,3906,3906,3906,3906,3906,3906,3906
PR Stirling, (IRE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,128,899,1517,1541,1654,1662,2033,2240,2896,3346,3897
JG Wright, (NZ),0,0,0,0,0,0,0,48,214,745,793,816,1414,1580,1767,2087,2339,3081,3183,3666,3770,3891,3891,3891,3891,3891,3891,3891,3891,3891,3891,3891,3891,3891,3891,3891,3891,3891,3891,3891,3891,3891,3891,3891,3891,3891,3891,3891,3891
DJ Cullinan, (SA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,351,782,860,1894,2794,3112,3629,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860
GA Hick, (ENG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,628,1038,1473,1571,2105,2214,2477,3271,3787,3846,3846,3846,3846,3846,3846,3846,3846,3846,3846,3846,3846,3846,3846,3846,3846,3846,3846,3846
HP Tillakaratne, (SL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,39,65,368,649,708,988,1400,1758,2335,2753,2972,3054,3439,3439,3439,3457,3789,3789,3789,3789,3789,3789,3789,3789,3789,3789,3789,3789,3789,3789,3789,3789,3789
N Kapil Dev, (INDIA),0,0,0,0,0,0,0,18,71,228,285,535,1042,1143,1406,1948,2492,2702,2940,3132,3325,3585,3726,3783,3783,3783,3783,3783,3783,3783,3783,3783,3783,3783,3783,3783,3783,3783,3783,3783,3783,3783,3783,3783,3783,3783,3783,3783,3783
Mahmudullah, (BDESH),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,315,563,1070,1374,1586,1829,2123,2629,2858,3218,3637,3757
Wasim Akram, (PAK),0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,93,285,396,709,782,848,1144,1409,1559,1752,2150,2236,2514,2874,3262,3365,3652,3723,3723,3723,3723,3723,3723,3723,3723,3723,3723,3723,3723,3723,3723,3723,3723,3723
RS Kaluwitharana, (SL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,15,140,144,535,978,1143,1622,2504,2936,3349,3504,3709,3711,3711,3711,3711,3711,3711,3711,3711,3711,3711,3711,3711,3711,3711,3711,3711
Imran Khan, (PAK),0,0,0,0,9,13,52,64,106,108,319,468,751,907,1162,1398,1787,2135,3012,3257,3482,3711,3711,3711,3711,3711,3711,3711,3711,3711,3711,3711,3711,3711,3711,3711,3711,3711,3711,3711,3711,3711,3711,3711,3711,3711,3711,3711,3711
PV Simmons, (WI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,396,648,787,787,950,1422,2102,2577,2963,3242,3456,3532,3675,3675,3675,3675,3675,3675,3675,3675,3675,3675,3675,3675,3675,3675,3675,3675,3675,3675,3675,3675,3675
NV Knight, (ENG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,522,1183,1620,1924,2446,3534,3637,3637,3637,3637,3637,3637,3637,3637,3637,3637,3637,3637,3637,3637,3637,3637,3637
LD Chandimal, (SL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,440,1285,1744,2052,2427,3033,3288,3586,3599
L Klusener, (SA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,724,864,1718,2537,2780,3290,3381,3576,3576,3576,3576,3576,3576,3576,3576,3576,3576,3576,3576,3576,3576,3576,3576
JC Buttler, (ENG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298,1002,1644,2217,2505,3176,3549
SC Williams, (ZIM),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,199,414,618,983,1088,1146,1146,1483,1782,2675,2721,2947,3395,3546
SM Pollock, (Afr/ICC/SA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,701,887,1165,1372,1460,1822,1992,2270,2556,2935,3476,3519,3519,3519,3519,3519,3519,3519,3519,3519,3519,3519,3519
MA Taylor, (AUS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294,516,636,1073,1544,2094,2834,3472,3514,3514,3514,3514,3514,3514,3514,3514,3514,3514,3514,3514,3514,3514,3514,3514,3514,3514,3514,3514,3514,3514,3514
DB Vengsarkar, (INDIA),0,0,0,0,0,59,59,96,140,361,549,785,951,1346,1744,2394,2839,3110,3417,3508,3508,3508,3508,3508,3508,3508,3508,3508,3508,3508,3508,3508,3508,3508,3508,3508,3508,3508,3508,3508,3508,3508,3508,3508,3508,3508,3508,3508,3508
Mohammad Ashraful, (Asia/BDESH),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,171,326,658,1053,1507,2016,2692,3140,3360,3397,3397,3468,3468,3468,3468,3468,3468,3468
KJ O'Brien, (IRE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,573,763,884,1336,1788,1788,1933,2114,2340,2629,2840,3172,3444
SPD Smith, (AUS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,343,372,380,921,1730,2884,3333,3435,3435
SO Tikolo, (Afr/KENYA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,322,501,963,968,1190,1448,1708,1710,1753,2338,2785,2955,3304,3377,3421,3421,3421,3428,3428,3428,3428,3428,3428
HH Dippenaar, (Afr/SA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,424,712,1587,2066,2322,2693,3344,3421,3421,3421,3421,3421,3421,3421,3421,3421,3421,3421,3421,3421
A Flintoff, (ENG/ICC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,306,450,847,1478,2111,2601,2703,3090,3391,3394,3394,3394,3394,3394,3394,3394,3394,3394,3394,3394
T Taibu, (Afr/ZIM),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,129,515,1083,1410,1410,1630,1990,2238,2812,3297,3393,3393,3393,3393,3393,3393,3393,3393
KC Wessels, (AUS/SA),0,0,0,0,0,0,0,0,0,0,0,0,429,1231,1740,1740,1740,1740,1740,1740,1951,2660,3050,3367,3367,3367,3367,3367,3367,3367,3367,3367,3367,3367,3367,3367,3367,3367,3367,3367,3367,3367,3367,3367,3367,3367,3367,3367,3367
AC Parore, (NZ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,78,806,1111,1738,2109,2460,2808,2976,3205,3314,3314,3314,3314,3314,3314,3314,3314,3314,3314,3314,3314,3314,3314,3314,3314,3314,3314
Moin Khan, (PAK),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,96,168,168,168,277,825,1306,1684,2207,2751,2853,2853,2912,3266,3266,3266,3266,3266,3266,3266,3266,3266,3266,3266,3266,3266,3266,3266,3266
Kamran Akmal, (PAK),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,167,167,736,1076,1369,1711,2220,2577,2924,2930,3168,3168,3168,3168,3236,3236,3236
AN Cook, (ENG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,483,702,702,858,1458,2121,2681,3204,3204,3204,3204,3204,3204
Umar Akmal, (PAK),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311,784,1569,1976,2370,2732,2913,2913,3044,3044,3194
DI Gower, (ENG),0,0,0,0,0,0,0,201,555,579,762,909,1995,2264,2427,2564,2905,2905,3030,3142,3170,3170,3170,3170,3170,3170,3170,3170,3170,3170,3170,3170,3170,3170,3170,3170,3170,3170,3170,3170,3170,3170,3170,3170,3170,3170,3170,3170,3170
KR Rutherford, (NZ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,329,535,802,802,1303,1476,1997,2222,2812,3143,3143,3143,3143,3143,3143,3143,3143,3143,3143,3143,3143,3143,3143,3143,3143,3143,3143,3143,3143,3143,3143,3143,3143,3143
BJ Haddin, (AUS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,13,96,158,374,693,774,1490,1877,2566,2566,2747,2971,3220,3220,3220,3220,3220
RJ Shastri, (INDIA),0,0,0,0,0,0,0,0,0,0,19,49,260,649,989,1450,1921,2152,2323,2567,2955,3108,3108,3108,3108,3108,3108,3108,3108,3108,3108,3108,3108,3108,3108,3108,3108,3108,3108,3108,3108,3108,3108,3108,3108,3108,3108,3108,3108
SM Gavaskar, (INDIA),0,0,0,48,161,161,161,165,254,397,482,628,988,1232,1552,2557,3092,3092,3092,3092,3092,3092,3092,3092,3092,3092,3092,3092,3092,3092,3092,3092,3092,3092,3092,3092,3092,3092,3092,3092,3092,3092,3092,3092,3092,3092,3092,3092,3092
DS Lehmann, (AUS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,27,706,1527,1527,1727,2285,2714,2989,3078,3078,3078,3078,3078,3078,3078,3078,3078,3078,3078,3078,3078,3078,3078
GJ Bailey, (AUS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441,1539,1945,2236,3044,3044,3044,3044
V Sibanda, (Afr/ZIM),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,270,300,800,1345,1504,1677,1796,2274,2274,2706,2812,2898,2994,2994,2994,2994
JJ Roy, (ENG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,462,1109,1642,2536,2992
HDRL Thirimanne, (SL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,37,608,1025,1723,2586,2586,2946,2946,2990
DJ Bravo, (WI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,313,740,1088,1291,1511,1715,1910,2165,2758,2968,2968,2968,2968,2968,2968
AM Rahane, (INDIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340,349,462,1230,1952,2236,2822,2962,2962
HH Streak, (Afr/ZIM),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,80,134,338,423,755,891,1292,1848,1966,2435,2752,2943,2943,2943,2943,2943,2943,2943,2943,2943,2943,2943,2943,2943,2943,2943
DA Miller, (SA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,267,267,811,1090,1819,2026,2396,2780,2922
WW Hinds, (WI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277,690,1051,1558,2245,2350,2627,2835,2835,2835,2835,2880,2880,2880,2880,2880,2880,2880,2880,2880,2880
DM Bravo, (WI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,219,856,1073,1861,2171,2283,2595,2595,2651,2820
IJL Trott, (ENG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,483,1798,2208,2819,2819,2819,2819,2819,2819,2819
AL Logie, (WI),0,0,0,0,0,0,0,0,0,0,0,0,6,254,754,979,1560,1977,2213,2240,2529,2722,2809,2809,2809,2809,2809,2809,2809,2809,2809,2809,2809,2809,2809,2809,2809,2809,2809,2809,2809,2809,2809,2809,2809,2809,2809,2809,2809
AH Jones, (NZ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,900,1229,1741,2014,2544,2639,2739,2784,2784,2784,2784,2784,2784,2784,2784,2784,2784,2784,2784,2784,2784,2784,2784,2784,2784,2784,2784,2784,2784,2784,2784,2784
M Kaif, (INDIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,717,1170,1734,2431,2753,2753,2753,2753,2753,2753,2753,2753,2753,2753,2753,2753,2753,2753
SE Marsh, (AUS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333,726,1039,1274,1274,1490,1667,1712,1858,1896,2312,2747
SV Carlisle, (ZIM),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,66,79,79,453,1139,2221,2372,2372,2676,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740
Babar Azam, (PAK),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,886,1758,2267,2739
Salman Butt, (PAK),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,817,962,1324,2185,2543,2725,2725,2725,2725,2725,2725,2725,2725,2725,2725
Mohammad Shahzad, (AFG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,643,813,844,844,884,1297,1649,1901,2508,2720
RG Twose, (NZ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,612,650,650,1473,2540,2717,2717,2717,2717,2717,2717,2717,2717,2717,2717,2717,2717,2717,2717,2717,2717,2717,2717,2717
GJ Whittall, (ZIM),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,216,269,517,1028,1360,1731,2230,2613,2646,2705,2705,2705,2705,2705,2705,2705,2705,2705,2705,2705,2705,2705,2705,2705,2705,2705
GJ Maxwell, (AUS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,511,891,1536,1764,2036,2243,2701
RS Bopara, (ENG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304,601,1037,1140,1560,1899,2216,2638,2695,2695,2695,2695,2695
Mudassar Nazar, (PAK),0,0,0,0,0,0,83,157,160,167,452,800,933,1214,1789,2154,2373,2582,2655,2655,2655,2655,2655,2655,2655,2655,2655,2655,2655,2655,2655,2655,2655,2655,2655,2655,2655,2655,2655,2655,2655,2655,2655,2655,2655,2655,2655,2655,2655
EC Joyce, (ENG/IRE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,471,471,471,471,1103,1103,1252,1277,1744,2110,2349,2622,2622
Ahmed Shehzad, (PAK),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,106,477,477,1286,1915,2485,2510,2605,2605,2605
Mohammad Nabi, (AFG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,324,572,655,655,1058,1469,1685,1972,2435,2592
NJ O'Brien, (IRE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,503,708,815,924,1399,1410,1469,1514,1954,1964,2292,2581,2581
Zaheer Abbas, (PAK),0,0,0,88,224,247,257,348,496,633,976,1652,2033,2374,2572,2572,2572,2572,2572,2572,2572,2572,2572,2572,2572,2572,2572,2572,2572,2572,2572,2572,2572,2572,2572,2572,2572,2572,2572,2572,2572,2572,2572,2572,2572,2572,2572,2572,2572
AC Hudson, (SA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,660,976,1442,1512,2462,2559,2559,2559,2559,2559,2559,2559,2559,2559,2559,2559,2559,2559,2559,2559,2559,2559,2559,2559,2559,2559,2559,2559
Sikandar Raza, (ZIM),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,578,1431,1633,1844,2477,2515
VG Kambli, (INDIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,122,806,1522,1741,2003,2136,2225,2305,2477,2477,2477,2477,2477,2477,2477,2477,2477,2477,2477,2477,2477,2477,2477,2477,2477,2477,2477,2477
Imrul Kayes, (BDESH),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27,894,1315,1315,1315,1390,1548,1873,1998,2434,2434
JDP Oram, (NZ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229,377,606,827,1034,1121,1670,2014,2094,2203,2293,2434,2434,2434,2434,2434,2434,2434,2434
TM Odoyo, (Afr/KENYA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,167,218,475,510,765,875,1120,1135,1138,1464,1896,2026,2167,2316,2418,2418,2418,2420,2420,2420,2420,2420,2420
AD Hales, (ENG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,579,1322,1857,2314,2419
RA Smith, (ENG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,312,795,933,1547,2068,2218,2218,2419,2419,2419,2419,2419,2419,2419,2419,2419,2419,2419,2419,2419,2419,2419,2419,2419,2419,2419,2419,2419,2419,2419,2419
L Vincent, (NZ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328,996,1133,1133,1734,1901,2413,2413,2413,2413,2413,2413,2413,2413,2413,2413,2413,2413,2413
TWM Latham, (NZ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,280,411,906,1358,1904,2203,2395
CJ Chibhabha, (ZIM),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,498,727,928,1034,1169,1247,1247,1312,1312,2225,2346,2346,2389,2389
GP Thorpe, (ENG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,292,353,1019,1478,1482,1786,2025,2120,2380,2380,2380,2380,2380,2380,2380,2380,2380,2380,2380,2380,2380,2380,2380,2380,2380,2380
VVS Laxman, (INDIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,62,86,627,1250,1472,2309,2338,2338,2338,2338,2338,2338,2338,2338,2338,2338,2338,2338,2338,2338,2338
RR Singh, (INDIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,13,13,13,13,13,34,740,1138,1793,2320,2336,2336,2336,2336,2336,2336,2336,2336,2336,2336,2336,2336,2336,2336,2336,2336,2336,2336,2336
N Hussain, (ENG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17,17,17,17,43,43,99,155,256,743,1206,1404,2308,2332,2332,2332,2332,2332,2332,2332,2332,2332,2332,2332,2332,2332,2332,2332,2332,2332
GS Chappell, (AUS),22,123,123,240,472,472,646,646,955,1677,1925,2057,2331,2331,2331,2331,2331,2331,2331,2331,2331,2331,2331,2331,2331,2331,2331,2331,2331,2331,2331,2331,2331,2331,2331,2331,2331,2331,2331,2331,2331,2331,2331,2331,2331,2331,2331,2331,2331
JM Bairstow, (ENG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,119,119,119,260,458,992,2017,2329
CR Ervine, (ZIM),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324,581,581,702,702,1400,1568,1802,2176,2315
BA Stokes, (ENG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,87,282,544,1034,1650,1963,2306
KA Pollard, (WI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,47,147,538,1066,1547,1869,2042,2042,2289,2289,2289,2289
SL Campbell, (WI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,553,835,841,841,1588,2209,2283,2283,2283,2283,2283,2283,2283,2283,2283,2283,2283,2283,2283,2283,2283,2283,2283,2283,2283
MDKJ Perera, (SL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333,839,1259,1635,1726,2093,2283
DL Vettori, (ICC/NZ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,136,208,256,342,497,588,723,990,1212,1311,1456,1715,2039,2149,2149,2154,2195,2299,2299,2299,2299,2299
SD Hope, (WI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,787,1662,2247
S Matsikenyeri, (ZIM),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,102,496,658,1046,1335,1476,2177,2196,2196,2205,2205,2205,2224,2224,2224,2224,2224
